_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP,CA
6433fa5a8fc47900077e1ae3,WIPRO,EQ,N,374.4,367.6,368.0,373.3,374.1,366.65,2812470,1042555068.55,584.25,355.0,50644,INE075A01022,2023-04-10,2023-04-09T18:30:00.000Z,2023-04-10T12:00:26.830Z,2023-04-10T12:00:26.830Z,0,,370.69,10-Apr-2023,
642eb461094dd400068c6b3f,WIPRO,EQ,N,370.45,365.85,369.0,366.65,367.6,369.75,3214807,1181967761.85,609.5,355.0,55302,INE075A01022,2023-04-06,2023-04-05T18:30:00.000Z,2023-04-06T12:00:33.795Z,2023-04-06T12:00:33.795Z,0,,367.66,06-Apr-2023,
642d62e02ea04a0007fadc7b,WIPRO,EQ,N,371.9,367.2,369.7,369.75,369.8,367.95,3221555,1191876937.6,609.5,355.0,71044,INE075A01022,2023-04-05,2023-04-04T18:30:00.000Z,2023-04-05T12:00:32.108Z,2023-04-05T12:00:32.108Z,0,,369.97,05-Apr-2023,
642bb9a2de6eb90007c5db90,WIPRO,EQ,N,368.4,365.15,367.95,367.95,368.2,365.25,2026750,743940439.2,609.5,355.0,41045,INE075A01022,2023-04-03,2023-04-02T18:30:00.000Z,2023-04-04T05:46:10.123Z,2023-04-04T05:46:10.123Z,0,,367.06,03-Apr-2023,
6426cb7dfa6ac80007ed8230,WIPRO,EQ,N,365.75,361.3,363.35,365.25,365.15,359.05,3957106,1439866419.25,609.5,355.0,80263,INE075A01022,2023-03-31,2023-03-30T18:30:00.000Z,2023-03-31T12:01:01.947Z,2023-03-31T12:01:01.947Z,0,,363.87,31-Mar-2023,
6424285fde5deb00074f7902,WIPRO,EQ,N,360.75,355.0,358.0,359.05,359.55,356.2,4411920,1576475837.95,609.5,355.0,80284,INE075A01022,2023-03-29,2023-03-28T18:30:00.000Z,2023-03-29T12:00:31.802Z,2023-03-29T12:00:31.802Z,0,,357.32,29-Mar-2023,
6422d6e24334450007b90c97,WIPRO,EQ,N,364.05,355.4,363.0,356.2,356.45,361.25,3906548,1402802078.95,609.5,355.4,87065,INE075A01022,2023-03-28,2023-03-27T18:30:00.000Z,2023-03-28T12:00:34.045Z,2023-03-28T12:00:34.045Z,0,,359.09,28-Mar-2023,
6421857e341dfa0007d42f59,WIPRO,EQ,N,364.0,359.2,361.75,361.25,361.85,361.75,3113857,1127764447.65,609.5,359.2,76735,INE075A01022,2023-03-27,2023-03-26T18:30:00.000Z,2023-03-27T12:01:02.321Z,2023-03-27T12:01:02.321Z,0,,362.18,27-Mar-2023,
642836517ae9d00007116e16,WIPRO,EQ,N,366.85,361.0,363.35,361.75,361.25,361.5,3953348,1435266060.25,616.0,360.35,63616,INE075A01022,2023-03-24,2023-03-23T18:30:00.000Z,2023-04-01T13:49:05.376Z,2023-04-01T13:49:05.376Z,0,,363.05,24-Mar-2023,
641c3f604052850007ffb0b5,WIPRO,EQ,N,364.9,360.35,364.9,361.5,361.95,366.4,4742596,1719318460.55,616.0,360.35,85194,INE075A01022,2023-03-23,2023-03-22T18:30:00.000Z,2023-03-23T12:00:32.515Z,2023-03-23T12:00:32.515Z,0,,362.53,23-Mar-2023,
641aeddf70c37800075eb141,WIPRO,EQ,N,370.0,365.85,367.85,366.4,366.8,366.4,2687423,987191547.95,616.0,365.15,51397,INE075A01022,2023-03-22,2023-03-21T18:30:00.000Z,2023-03-22T12:00:31.825Z,2023-03-22T12:00:31.825Z,0,,367.34,22-Mar-2023,
64199c7df23e5d0007762c42,WIPRO,EQ,N,370.25,365.45,369.0,366.4,366.85,367.15,3605576,1323839929.6,616.0,365.15,79289,INE075A01022,2023-03-21,2023-03-20T18:30:00.000Z,2023-03-21T12:01:01.943Z,2023-03-21T12:01:01.943Z,0,,367.16,21-Mar-2023,
64184adc4cca9b00071d09ff,WIPRO,EQ,N,375.95,365.15,375.0,367.15,368.35,376.5,4092377,1509596298.65,616.0,365.15,136105,INE075A01022,2023-03-20,2023-03-19T18:30:00.000Z,2023-03-20T12:00:28.738Z,2023-03-20T12:00:28.738Z,0,,368.88,20-Mar-2023,
