_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP
6433fa5b8fc47900077e1d23,INDHOTEL,EQ,N,332.25,324.65,327.5,328.0,328.15,326.75,3406679,1118618662.0,349,207.25,35735,INE053A01029,2023-04-10,2023-04-09T18:30:00.000Z,2023-04-10T12:00:27.364Z,2023-04-10T12:00:27.364Z,0,,328.36,10-Apr-2023
642eb462094dd400068c6d83,INDHOTEL,EQ,N,330.3,322.55,323.9,326.75,326.4,323.9,3880533,1266719582.3,349,207.25,65742,INE053A01029,2023-04-06,2023-04-05T18:30:00.000Z,2023-04-06T12:00:34.349Z,2023-04-06T12:00:34.349Z,0,,326.43,06-Apr-2023
642d62e02ea04a0007fadebf,INDHOTEL,EQ,N,324.65,318.1,320.0,323.9,324.25,321.05,2016527,648858695.45,349,207.25,37336,INE053A01029,2023-04-05,2023-04-04T18:30:00.000Z,2023-04-05T12:00:32.648Z,2023-04-05T12:00:32.648Z,0,,321.77,05-Apr-2023
642bb9a2de6eb90007c5ddd4,INDHOTEL,EQ,N,325.0,319.15,324.8,321.05,321.7,324.35,4349256,1394751548.75,349,207.25,36974,INE053A01029,2023-04-03,2023-04-02T18:30:00.000Z,2023-04-04T05:46:10.763Z,2023-04-04T05:46:10.763Z,0,,320.69,03-Apr-2023
6426cb7efa6ac80007ed848c,INDHOTEL,EQ,N,326.8,318.85,320.5,324.35,324.0,319.05,3928162,1270300072.9,349,207.25,49905,INE053A01029,2023-03-31,2023-03-30T18:30:00.000Z,2023-03-31T12:01:02.466Z,2023-03-31T12:01:02.466Z,0,,323.38,31-Mar-2023
64242860de5deb00074f7b40,INDHOTEL,EQ,N,319.8,310.0,312.0,319.05,319.15,312.1,3193116,1004502672.0,349,207.25,35970,INE053A01029,2023-03-29,2023-03-28T18:30:00.000Z,2023-03-29T12:00:32.309Z,2023-03-29T12:00:32.309Z,0,,314.58,29-Mar-2023
6422d6e24334450007b90ed7,INDHOTEL,EQ,N,313.5,302.1,306.5,312.1,313.3,304.95,3338848,1029579082.2,349,207.25,39319,INE053A01029,2023-03-28,2023-03-27T18:30:00.000Z,2023-03-28T12:00:34.602Z,2023-03-28T12:00:34.602Z,0,,308.36,28-Mar-2023
6421857e341dfa0007d43193,INDHOTEL,EQ,N,311.8,303.0,310.45,304.95,305.25,310.45,2877356,878389894.55,349,207.25,33542,INE053A01029,2023-03-27,2023-03-26T18:30:00.000Z,2023-03-27T12:01:02.869Z,2023-03-27T12:01:02.869Z,0,,305.28,27-Mar-2023
642836527ae9d00007117074,INDHOTEL,EQ,N,315.95,309.4,314.0,310.45,310.4,314.05,1383891,431779819.9,349,205.0,23752,INE053A01029,2023-03-24,2023-03-23T18:30:00.000Z,2023-04-01T13:49:06.024Z,2023-04-01T13:49:06.024Z,0,,312.0,24-Mar-2023
641c3f614052850007ffb2dc,INDHOTEL,EQ,N,318.3,313.4,315.05,314.05,314.0,315.1,1778728,561184686.55,349,205.0,17559,INE053A01029,2023-03-23,2023-03-22T18:30:00.000Z,2023-03-23T12:00:33.051Z,2023-03-23T12:00:33.051Z,0,,315.5,23-Mar-2023
641aede070c37800075eb34d,INDHOTEL,EQ,N,319.75,312.65,318.85,315.1,315.95,317.85,1524897,483930948.6,349,205.0,27458,INE053A01029,2023-03-22,2023-03-21T18:30:00.000Z,2023-03-22T12:00:32.322Z,2023-03-22T12:00:32.322Z,0,,317.35,22-Mar-2023
64199c7ef23e5d0007762e6c,INDHOTEL,EQ,N,319.9,315.95,316.7,317.85,317.8,315.1,1793808,569499910.45,349,205.0,30229,INE053A01029,2023-03-21,2023-03-20T18:30:00.000Z,2023-03-21T12:01:02.465Z,2023-03-21T12:01:02.465Z,0,,317.48,21-Mar-2023
64184add4cca9b00071d0c3b,INDHOTEL,EQ,N,324.4,311.45,324.4,315.1,315.6,321.85,1947923,613995010.25,349,205.0,30095,INE053A01029,2023-03-20,2023-03-19T18:30:00.000Z,2023-03-20T12:00:29.288Z,2023-03-20T12:00:29.288Z,0,,315.2,20-Mar-2023
