_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP
6433fa5a8fc47900077e1abb,ICICIBANK,EQ,N,882.8,864.4,880.05,868.45,867.4,875.0,30906205,26944542002.85,958.2,669.95,200100,INE090A01021,2023-04-10,2023-04-09T18:30:00.000Z,2023-04-10T12:00:26.792Z,2023-04-10T12:00:26.792Z,0,,871.82,10-Apr-2023
642eb461094dd400068c6b14,ICICIBANK,EQ,N,890.1,872.7,882.0,875.0,875.0,884.6,26042745,22906329314.65,958.2,669.95,254836,INE090A01021,2023-04-06,2023-04-05T18:30:00.000Z,2023-04-06T12:00:33.750Z,2023-04-06T12:00:33.750Z,0,,879.57,06-Apr-2023
642d62e02ea04a0007fadc53,ICICIBANK,EQ,N,887.75,874.0,886.6,884.6,885.0,883.8,21068934,18562712710.8,958.2,669.95,198760,INE090A01021,2023-04-05,2023-04-04T18:30:00.000Z,2023-04-05T12:00:32.067Z,2023-04-05T12:00:32.067Z,0,,881.05,05-Apr-2023
642bb9a2de6eb90007c5db63,ICICIBANK,EQ,N,887.1,868.85,880.2,883.8,884.5,877.25,26416933,23171877331.15,958.2,669.95,227883,INE090A01021,2023-04-03,2023-04-02T18:30:00.000Z,2023-04-04T05:46:10.074Z,2023-04-04T05:46:10.074Z,0,,877.16,03-Apr-2023
6426cb7dfa6ac80007ed8203,ICICIBANK,EQ,N,881.0,858.5,861.95,877.25,876.9,851.0,25739021,22521029030.15,958.2,669.95,279968,INE090A01021,2023-03-31,2023-03-30T18:30:00.000Z,2023-03-31T12:01:01.910Z,2023-03-31T12:01:01.910Z,0,,874.98,31-Mar-2023
6424285fde5deb00074f78d9,ICICIBANK,EQ,N,862.1,848.0,857.05,851.0,855.0,854.75,34881515,29819416000.65,958.2,669.95,285499,INE090A01021,2023-03-29,2023-03-28T18:30:00.000Z,2023-03-29T12:00:31.769Z,2023-03-29T12:00:31.769Z,0,,854.88,29-Mar-2023
6422d6e24334450007b90c70,ICICIBANK,EQ,N,858.9,848.2,855.55,854.75,856.9,848.7,24469018,20880709975.3,958.2,669.95,208296,INE090A01021,2023-03-28,2023-03-27T18:30:00.000Z,2023-03-28T12:00:34.019Z,2023-03-28T12:00:34.019Z,0,,853.35,28-Mar-2023
6421857e341dfa0007d42f31,ICICIBANK,EQ,N,856.4,844.05,854.95,848.7,846.9,852.4,17047675,14479194037.9,958.2,669.95,218983,INE090A01021,2023-03-27,2023-03-26T18:30:00.000Z,2023-03-27T12:01:02.285Z,2023-03-27T12:01:02.285Z,0,,849.34,27-Mar-2023
642836517ae9d00007116dee,ICICIBANK,EQ,N,860.0,849.15,852.5,852.4,851.45,855.45,17295696,14786927519.65,958.2,669.95,198327,INE090A01021,2023-03-24,2023-03-23T18:30:00.000Z,2023-04-01T13:49:05.327Z,2023-04-01T13:49:05.327Z,0,,854.95,24-Mar-2023
641c3f604052850007ffb08d,ICICIBANK,EQ,N,867.45,852.8,857.0,855.45,854.1,860.2,17920621,15448661801.95,958.2,669.95,214120,INE090A01021,2023-03-23,2023-03-22T18:30:00.000Z,2023-03-23T12:00:32.482Z,2023-03-23T12:00:32.482Z,0,,862.06,23-Mar-2023
641aeddf70c37800075eb11e,ICICIBANK,EQ,N,862.55,851.0,857.65,860.2,858.15,852.4,17431520,14927607314.9,958.2,669.95,156728,INE090A01021,2023-03-22,2023-03-21T18:30:00.000Z,2023-03-22T12:00:31.797Z,2023-03-22T12:00:31.797Z,0,,856.36,22-Mar-2023
64199c7df23e5d0007762c1d,ICICIBANK,EQ,N,854.5,839.05,843.0,852.4,851.75,836.45,18755854,15869462815.95,958.2,669.95,224691,INE090A01021,2023-03-21,2023-03-20T18:30:00.000Z,2023-03-21T12:01:01.903Z,2023-03-21T12:01:01.903Z,0,,846.11,21-Mar-2023
64184adc4cca9b00071d09d6,ICICIBANK,EQ,N,837.8,825.0,837.0,836.45,836.85,836.25,14838651,12323776072.3,958.2,669.95,278069,INE090A01021,2023-03-20,2023-03-19T18:30:00.000Z,2023-03-20T12:00:28.680Z,2023-03-20T12:00:28.680Z,0,,830.52,20-Mar-2023
6428364bb12dd2000783b86c,ICICIBANK,EQ,N,838.4,818.65,831.8,836.25,838.0,823.9,11104490,9199538620.0,958.2,669.95,231625,INE090A01021,2023-03-17,2023-03-16T18:30:00.000Z,2023-04-01T13:48:59.012Z,2023-04-01T13:48:59.012Z,0,,828.45,17-Mar-2023
641304fd5a79c20007fb8a08,ICICIBANK,EQ,N,831.3,810.3,829.7,823.9,825.55,825.9,14987868,12308061095.5,958.2,669.95,421367,INE090A01021,2023-03-16,2023-03-15T18:30:00.000Z,2023-03-16T12:01:01.930Z,2023-03-16T12:01:01.930Z,0,,821.2,16-Mar-2023
6411b37dbe244d00086a71df,ICICIBANK,EQ,N,843.95,822.2,836.45,825.9,823.4,830.35,12914488,10758985936.3,958.2,669.95,191124,INE090A01021,2023-03-15,2023-03-14T18:30:00.000Z,2023-03-15T12:01:01.924Z,2023-03-15T12:01:01.924Z,0,,833.09,15-Mar-2023
641061fe5cd8ce0007c66984,ICICIBANK,EQ,N,834.45,818.25,827.0,830.35,832.5,828.4,15456802,12767098939.3,958.2,669.95,263294,INE090A01021,2023-03-14,2023-03-13T18:30:00.000Z,2023-03-14T12:01:02.063Z,2023-03-14T12:01:02.063Z,0,,825.99,14-Mar-2023
640f107ef9a53c00076d4d71,ICICIBANK,EQ,N,855.3,823.95,841.45,828.4,830.0,842.65,16413159,13805160212.15,958.2,669.95,265017,INE090A01021,2023-03-13,2023-03-12T18:30:00.000Z,2023-03-13T12:01:02.048Z,2023-03-13T12:01:02.048Z,0,,841.1,13-Mar-2023
6428361acad839000735facb,ICICIBANK,EQ,N,845.35,836.25,844.7,842.65,842.15,855.95,17273189,14558564028.95,958.2,642.15,222667,INE090A01021,2023-03-10,2023-03-09T18:30:00.000Z,2023-04-01T13:48:10.639Z,2023-04-01T13:48:10.639Z,0,,842.84,10-Mar-2023
6409ca609d5f8e0007aafdb1,ICICIBANK,EQ,N,869.8,854.15,867.2,855.95,856.4,872.1,10624440,9166163272.8,958.2,642.15,174754,INE090A01021,2023-03-09,2023-03-08T18:30:00.000Z,2023-03-09T12:00:32.360Z,2023-03-09T12:00:32.360Z,0,,862.74,09-Mar-2023
640878fd75b3490007547e3a,ICICIBANK,EQ,N,873.65,861.5,866.65,872.1,872.0,867.75,16144568,13984506148.35,958.2,642.15,211371,INE090A01021,2023-03-08,2023-03-07T18:30:00.000Z,2023-03-08T12:01:01.940Z,2023-03-08T12:01:01.940Z,0,,866.21,08-Mar-2023
642836106d709e0007ede3e0,ICICIBANK,EQ,N,876.85,865.35,871.75,867.75,868.6,868.55,13904231,12101444323.3,958.2,642.15,188956,INE090A01021,2023-03-06,2023-03-05T18:30:00.000Z,2023-04-01T13:48:00.252Z,2023-04-01T13:48:00.252Z,0,,870.34,06-Mar-2023
6428360916ab0d00071bc835,ICICIBANK,EQ,N,873.0,849.85,856.75,868.55,866.5,854.0,12823098,11117545319.0,958.2,642.15,200269,INE090A01021,2023-03-03,2023-03-02T18:30:00.000Z,2023-04-01T13:47:53.881Z,2023-04-01T13:47:53.881Z,0,,866.99,03-Mar-2023
